selection	configuration	ori_proportion	k	b	generation	layout_run	N_mean	prop_F1	prop_hybrid	HI_mean	n_internal_reps	kb
neutral	multi_cluster	0.1	30	0.03	1000	3	1484.45	0	0.645125821469115	0.124868838642883	20	k30 b0.03
neutral	multi_cluster	0.1	30	0.03	1000	4	1475.25	3.82262996941896e-05	0.681337250728497	0.149999883862338	20	k30 b0.03
neutral	multi_cluster	0.1	30	0.03	1000	5	1468.35	0	0.745690504804135	0.186487662964711	20	k30 b0.03
neutral	multi_cluster	0.25	30	0.03	1000	1	1504.3	0.00748284227862592	0.989369581653562	0.562576783411313	20	k30 b0.03
neutral	multi_cluster	0.25	30	0.03	1000	2	1539.2	0.00993337715505032	0.992708346627436	0.579447478555673	20	k30 b0.03
neutral	multi_cluster	0.25	30	0.03	1000	3	1468.8	0.00773958012438895	0.993127309893249	0.576647422869364	20	k30 b0.03
neutral	multi_cluster	0.25	30	0.03	1000	4	1496.95	0.00649789086825178	0.980981564885067	0.526602868281409	20	k30 b0.03
neutral	multi_cluster	0.25	30	0.03	1000	5	1480.85	0.00654415670695079	0.990712143875502	0.544012250072119	20	k30 b0.03
neutral	multi_cluster	0.4	30	0.03	1000	1	1478.05	0.020893988285457	0.999385728654998	0.744694101694083	20	k30 b0.03
neutral	multi_cluster	0.4	30	0.03	1000	2	1524.85	0.0211241284402541	0.999515672838955	0.729093406760441	20	k30 b0.03
neutral	multi_cluster	0.4	30	0.03	1000	3	1500.25	0.024294005758889	0.999465260357372	0.753767939972328	20	k30 b0.03
neutral	multi_cluster	0.4	30	0.03	1000	4	1527.9	0.0226271515250401	0.999903304680418	0.76902307893683	20	k30 b0.03
neutral	multi_cluster	0.4	30	0.03	1000	5	1502.65	0.0218569487274346	0.998981199950405	0.744232114562903	20	k30 b0.03
neutral	one_cluster	0.1	30	0.03	1000	1	1515.7	0.00107368057400637	0.867035809288922	0.285077937410316	20	k30 b0.03
neutral	one_cluster	0.1	30	0.03	1000	2	1505.4	0.000241808165537597	0.903926652588085	0.268599415214642	20	k30 b0.03
neutral	one_cluster	0.1	30	0.03	1000	3	1530.7	0.000244315575584397	0.890271377678838	0.283273615817007	20	k30 b0.03
neutral	one_cluster	0.1	30	0.03	1000	4	1500.9	0.000465842236567317	0.826336381937556	0.249265044847698	20	k30 b0.03
neutral	one_cluster	0.1	30	0.03	1000	5	1531.8	0.000309464983313529	0.901414605528919	0.261977780459926	20	k30 b0.03
neutral	one_cluster	0.25	30	0.03	1000	1	1537.25	0.0132595746964662	0.99501667704099	0.632342976042706	20	k30 b0.03
neutral	one_cluster	0.25	30	0.03	1000	2	1513.45	0.0109525582661362	0.9967090503212	0.639961100189708	20	k30 b0.03
neutral	one_cluster	0.25	30	0.03	1000	3	1535.8	0.0115421443636889	0.996181074737211	0.628631201039227	20	k30 b0.03
neutral	one_cluster	0.25	30	0.03	1000	4	1467.75	0.0113575584473278	0.996849533583258	0.624823320118292	20	k30 b0.03
neutral	one_cluster	0.25	30	0.03	1000	5	1471	0.0140685105459971	0.996227425698529	0.638839548533529	20	k30 b0.03
neutral	one_cluster	0.4	30	0.03	1000	1	1508.6	0.0252078998886403	0.9997348955309	0.783652079488914	20	k30 b0.03
neutral	one_cluster	0.4	30	0.03	1000	2	1559.3	0.0257829659416533	0.999794240745127	0.773352701832407	20	k30 b0.03
neutral	one_cluster	0.4	30	0.03	1000	3	1529.45	0.0255948985596803	0.999528356418401	0.7592688554324	20	k30 b0.03
neutral	one_cluster	0.4	30	0.03	1000	4	1479.25	0.0210379084384828	0.999395352032655	0.746000633773978	20	k30 b0.03
neutral	one_cluster	0.4	30	0.03	1000	5	1523.6	0.0246009547657794	0.999869655920639	0.777175037572475	20	k30 b0.03
neutral	transects	0.1	30	0.03	1000	1	1491.55	0	0.643761359694149	0.137918883148728	20	k30 b0.03
neutral	transects	0.1	30	0.03	1000	2	1506.9	0	0.639649145934797	0.129762855181858	20	k30 b0.03
neutral	transects	0.1	30	0.03	1000	3	1490.5	7.21500721500722e-05	0.706332605056954	0.157333347687898	20	k30 b0.03
neutral	transects	0.1	30	0.03	1000	4	1510.75	5.57724484104852e-05	0.743334632709329	0.189291115527137	20	k30 b0.03
neutral	transects	0.1	30	0.03	1000	5	1483.95	6.8356289150356e-05	0.709256052290144	0.157928376985452	20	k30 b0.03
neutral	transects	0.25	30	0.03	1000	1	1512.9	0.00866731437344747	0.994181434746609	0.581481162504563	20	k30 b0.03
neutral	transects	0.25	30	0.03	1000	2	1534.3	0.00780744618925215	0.986355951634121	0.54100225582346	20	k30 b0.03
neutral	transects	0.25	30	0.03	1000	3	1506.55	0.0056371787996697	0.976507467004461	0.4790594129383	20	k30 b0.03
neutral	transects	0.25	30	0.03	1000	4	1521.2	0.00269322838830537	0.968619753705753	0.43025088872888	20	k30 b0.03
neutral	transects	0.25	30	0.03	1000	5	1516.8	0.00379114500972554	0.984088872636357	0.479429019697831	20	k30 b0.03
neutral	transects	0.4	30	0.03	1000	1	1503.5	0.0236274506844945	0.999149133680015	0.736575239888777	20	k30 b0.03
neutral	transects	0.4	30	0.03	1000	2	1486.95	0.0253015387036221	0.99806202989982	0.749281213458128	20	k30 b0.03
neutral	transects	0.4	30	0.03	1000	3	1485.9	0.0203989912174252	0.999511889520198	0.736512594461479	20	k30 b0.03
neutral	transects	0.4	30	0.03	1000	4	1497.7	0.021769091728804	0.999378219804516	0.756974867313923	20	k30 b0.03
neutral	transects	0.4	30	0.03	1000	5	1485.4	0.0234352914527843	0.99747835629607	0.728630759083469	20	k30 b0.03
sel_E	dispersed	0.1	30	0.03	1000	1	1434.75	0.000724370920989	0.856436400687013	0.266983307481677	20	k30 b0.03
sel_E	dispersed	0.1	30	0.03	1000	2	1405.15	0.000447824352156024	0.796133162372481	0.231958600368175	20	k30 b0.03
sel_E	dispersed	0.1	30	0.03	1000	3	1375.5	0.000357527721883794	0.827943558509487	0.233598148317239	20	k30 b0.03
sel_E	dispersed	0.1	30	0.03	1000	4	1428.05	0.000449525452780577	0.822263953361998	0.235399715209758	20	k30 b0.03
sel_E	dispersed	0.1	30	0.03	1000	5	1405.75	0.000415561808188707	0.824943043351479	0.267880830995657	20	k30 b0.03
sel_E	dispersed	0.25	30	0.03	1000	1	1414.9	0.00760194201456279	0.984774583143118	0.542463023813687	20	k30 b0.03
sel_E	dispersed	0.25	30	0.03	1000	2	1448.35	0.0123443965715728	0.995883703677188	0.637979606786757	20	k30 b0.03
sel_E	dispersed	0.25	30	0.03	1000	3	1477.2	0.0120931953396707	0.984385609969649	0.594221176690557	20	k30 b0.03
sel_E	dispersed	0.25	30	0.03	1000	4	1426.85	0.00405720111474639	0.983675427798546	0.5035663991661	20	k30 b0.03
sel_E	dispersed	0.25	30	0.03	1000	5	1423.15	0.00704053053504404	0.983482603910343	0.537522065018482	20	k30 b0.03
sel_E	dispersed	0.4	30	0.03	1000	1	1502.85	0.0229144756272142	0.999224702045704	0.751931231123383	20	k30 b0.03
